Currency,2-Jan-26,5-Jan-26,6-Jan-26,7-Jan-26,8-Jan-26,9-Jan-26,12-Jan-26,13-Jan-26,14-Jan-26,15-Jan-26,16-Jan-26,20-Jan-26,21-Jan-26,22-Jan-26,23-Jan-26,26-Jan-26,27-Jan-26,28-Jan-26,29-Jan-26,30-Jan-26
Chinese yuan,NA,6.9806,6.9803,6.9913,6.983,6.982,6.9746,6.9764,6.9732,6.9714,6.9683,6.9606,6.9638,6.9633,6.9647,6.9577,6.9571,6.9454,6.9469,6.9488
Euro(1),1.1721,1.1664,1.1707,1.1684,1.1675,1.1642,1.1692,1.1654,1.1651,1.1624,1.1617,1.1728,1.1739,1.1706,1.1742,1.1836,1.1929,1.1974,1.1968,1.1919
Japanese yen,NA,157.24,156.67,156.61,156.77,157.06,NA,158.24,159.2,158.5,158.2,158.15,158.21,158.2,158.55,154.77,154.29,152.58,153.09,153.6
U.K. pound(1),1.34375,1.346,1.35215,1.3502,1.34455,1.34125,1.346,1.34715,1.34495,1.34185,1.34085,1.3463,1.34085,1.34215,1.35165,1.3667,1.37115,1.37705,1.37925,1.37795
U.S. dollar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algerian dinar,NA,129.788,129.5562,129.7706,129.8228,129.9849,NA,129.9154,129.9966,130.0776,130.153,129.7996,129.6896,129.7822,129.5853,129.3217,129.229,129.1428,129.1078,129.2009
Australian dollar(1),0.6699,0.6673,0.6726,0.6761,0.6707,0.6698,0.6696,0.6711,0.6697,0.6675,0.6707,0.6738,0.6733,0.6805,0.685,NA,0.6912,0.6993,0.7091,0.7004
Botswana pula(1),NA,0.0766,0.0771,0.077,0.0766,0.0765,0.0767,0.0767,0.0768,0.0767,0.0768,0.0767,0.0768,0.0771,0.0775,0.0779,0.078,0.0786,0.079,0.0784
Brazilian real,5.4366,5.4345,5.3791,5.3874,5.3854,5.3701,5.3754,5.3758,5.3789,5.384,5.3792,5.3784,5.3362,5.3112,5.2872,5.2754,NA,5.1832,5.195,5.2295
Brunei dollar,1.2838,1.2886,1.2806,1.2807,1.2835,1.2853,1.2867,1.2864,1.2877,1.2881,NA,1.2852,1.2841,1.2839,1.2797,1.2696,1.2694,1.2611,1.262,1.2669
Canadian dollar,1.3737,1.3768,1.3789,NA,NA,1.3896,1.3875,1.3886,1.3877,1.3899,1.3913,1.3829,NA,1.3798,1.3732,1.3702,1.362,1.3571,1.3515,1.3562
Chilean peso,907.13,901.55,905.14,896.82,895.33,896.89,895.54,885.71,883.96,882.74,884.57,888.66,889.54,878.21,872.22,870.71,862.98,862.17,857.95,858.45
Czech koruna,20.611,20.742,20.67,20.774,20.785,20.903,20.77,20.807,20.83,20.884,20.908,20.748,20.758,20.756,20.659,20.483,20.345,20.291,20.345,20.413
Danish krone,6.3727,6.4039,6.3831,6.3955,6.4,6.4185,6.3909,6.412,6.4134,6.4282,6.4313,NA,6.3638,6.3803,6.3606,6.3094,6.2601,6.2357,6.239,6.2651
Indian rupee,90.1242,90.2729,90.181,89.9432,89.893,90.1395,90.1899,90.2677,90.2016,NA,90.6497,91.0356,91.55,91.5826,91.6195,NA,91.8244,91.6945,91.9644,91.8983
Israeli New Shekel,3.181,3.158,3.164,3.175,3.174,3.17,3.15,3.151,3.151,3.156,3.138,3.166,3.174,3.141,3.135,3.137,3.104,3.091,3.086,3.095
Korean won,"1,434.90","1,442.10","1,446.80","1,445.70","1,448.30","1,449.40","1,455.70","1,464.10","1,472.80","1,477.50","1,469.70","1,473.60","1,477.00","1,472.80","1,468.40","1,467.20","1,442.80","1,448.80","1,428.60","1,427.00"
Kuwaiti dinar,NA,0.30565,0.30535,0.3055,0.3056,NA,0.3058,0.3058,0.3058,0.3058,NA,0.3057,0.30555,0.30565,NA,0.30505,0.30505,0.30475,0.30475,NA
Malaysian ringgit,4.0575,4.076,4.0555,4.0505,4.0625,4.064,4.0665,4.056,4.0545,4.049,4.0605,4.0525,4.056,4.045,4.013,3.9695,3.9575,3.9205,3.933,3.941
Mauritian rupee,NA,46.6223,46.6511,46.6395,46.8469,46.6527,46.8009,46.7873,46.7524,46.4492,46.4892,46.3232,46.2542,46.3344,46.2605,45.8211,45.7331,45.4743,45.205,45.6094
Mexican peso,17.8803,17.8905,17.9697,17.9587,NA,17.9842,17.9075,17.854,17.8167,17.6897,17.6867,17.6008,17.452,NA,17.4545,17.283,17.2357,NA,17.2532,17.331
New Zealand dollar(1),NA,0.57545,0.57875,0.57845,0.57685,0.57455,0.57465,0.57755,0.57365,0.57435,0.57445,0.57985,0.58235,0.58475,0.59145,0.59645,0.59605,0.60235,0.60565,0.60585
Norwegian krone,10.0661,10.099,10.0184,10.0638,10.1015,10.1155,10.0449,10.0875,10.0704,10.0826,10.0889,9.9893,9.9127,9.8889,9.8297,9.8019,NA,9.6234,9.5404,9.5549
Omani rial,NA,0.3845,0.3845,0.3845,0.3845,NA,0.3845,0.3845,0.3845,NA,NA,0.3845,0.3845,0.3845,NA,0.3845,0.3845,0.3845,0.3845,0.3845
Peruvian sol,NA,NA,3.356,3.357,3.359,3.359,3.358,3.355,3.356,3.354,3.357,3.353,3.353,3.353,3.352,3.349,3.346,3.345,3.34,3.34
Philippine peso,58.79,58.874,58.964,59.152,59.329,59.148,59.164,59.241,59.309,59.422,59.44,NA,59.477,59.321,59.167,59.043,NA,59.078,58.835,58.888
Polish zloty,3.5963,3.6045,NA,3.6035,3.607,3.6184,3.6037,3.6083,3.614,3.6153,3.6346,3.6054,3.6118,3.6028,3.5831,3.5499,3.5354,3.5045,3.5189,3.5379
Qatari riyal,NA,3.64,3.64,3.64,3.64,NA,3.64,3.64,3.64,3.64,NA,3.64,3.64,3.64,NA,3.64,3.64,3.64,3.64,NA
Saudi Arabian riyal,NA,3.75,3.75,3.75,3.75,NA,3.75,3.75,3.75,3.75,NA,3.75,3.75,3.75,NA,3.75,3.75,3.75,3.75,NA
Singapore dollar,1.2838,1.2886,1.2806,1.2807,1.2835,1.2853,1.2867,1.2864,1.2877,1.2881,1.2873,1.2852,1.2841,1.2839,1.2797,1.2696,1.2694,1.2611,1.262,1.2669
Swedish krona,9.22148,9.24811,NA,9.18906,9.22141,9.23209,9.15224,9.19298,9.2035,9.2038,9.22699,NA,9.08169,9.05006,9.0023,8.97812,NA,8.84291,8.82729,8.82666
Swiss franc,NA,0.7947,0.7933,0.79645,0.7972,0.7997,0.7977,0.7983,0.801,0.8012,0.8014,0.7896,0.7909,0.7929,0.7905,0.7773,0.7744,0.768,0.7682,0.7673
Thai baht,NA,31.388,31.197,31.245,31.423,31.439,31.277,31.385,31.481,31.486,31.38,31.155,31.038,31.367,31.203,31.069,31.149,30.954,31.102,31.394
Trinidadian dollar,6.7505,6.7343,6.7538,6.7463,NA,6.7587,6.7643,6.7375,6.7549,6.7454,6.7478,6.7511,6.7596,6.7656,6.7745,6.7737,6.7672,6.7534,6.743,6.7156
U.A.E. dirham,NA,3.6725,3.6725,3.6725,3.6725,NA,3.6725,3.6725,3.6725,3.6725,NA,NA,3.6725,3.6725,NA,3.6725,3.6725,3.6725,3.6725,NA
Uruguayan peso,38.886,38.931,NA,38.922,NA,38.815,38.72,38.597,38.685,38.599,38.415,38.218,37.854,37.512,37.454,37.831,37.983,38.793,38.784,38.5
